"Captcha","Captcha"
"Captcha is disabled","Captcha is disabled"
"CSS Selectors","CSS Selectors"
"Enable","Activado"
"Enable Captcha","Enable Captcha"
"Incorrect CAPTCHA.","CAPTCHA incorrecto."
"Internal Error","Internal Error"
"These CSS selectors are used to identify the forms for which captcha will be activated.<br />One selector per line.<br />To disable a selector, type // at the beginning of the line.","These CSS selectors are used to identify the forms for which captcha will be activated.<br />One selector per line.<br />To disable a selector, type // at the beginning of the line."
"Verifying...","Verifying..."
