"...","..."
"Browse Files...","Αναζήτηση Αρχείων..."
"Complete","Complete"
"Maximum allowed file size for upload is","Το μέγιστο επιτρεπόμενο μέγεθος αρχείου για μεταφόρτωση είναι"
"Please check your server PHP settings.","Παρακαλώ ελέγξτε τις ρυθμίσεις PHP του διακομιστή σας."
"Remove","Αφαίρεση"
"There are files that were selected but not uploaded yet. After switching to another tab your selections will be lost. Do you wish to continue ?","Υπάρχουν αρχεία που επιλέχθηκαν αλλά δεν ανέβηκαν ακόμα. Μετά την αλλαγή σε άλλη καρτέλα οι επιλογές σας θα χαθούν. Θέλετε να συνεχίσετε ?"
"Upload Files","Μεταφόρτωση Αρχείων"
"Uploading...","Μεταφόρτωση..."
